Abbreviation,TeamName,GridPosition,DriverPointsBefore,TeamPointsBefore,AvgFinishLast3,Podium
9,1,7.0,169.0,177.0,9.333333333333334,0
5,0,15.0,23.0,438.0,17.0,0
16,5,9.0,44.0,428.0,15.666666666666666,0
17,5,12.0,19.0,442.0,14.0,0
23,8,0.0,12.0,455.0,3.0,0
27,1,10.0,198.0,191.0,15.666666666666666,0
19,2,17.0,11.0,453.0,9.0,0
0,12,18.0,63.0,320.0,13.0,0
1,2,5.0,4.0,487.0,10.0,0
13,12,19.0,59.0,338.0,17.0,0
30,0,14.0,0.0,506.0,13.333333333333334,0
28,11,1.0,6.0,448.0,3.0,1
20,11,4.0,350.0,168.0,4.0,1
15,4,2.0,243.0,170.0,2.3333333333333335,1
19,2,5.0,238.0,228.0,12.0,0
11,8,6.0,75.0,342.0,6.0,0
29,3,9.0,179.0,196.0,14.0,0
1,2,7.0,32.0,417.0,14.333333333333334,0
23,8,8.0,65.0,349.0,6.333333333333333,0
13,12,20.0,202.0,204.0,17.333333333333332,0
18,7,10.0,2.0,515.0,6.0,0
22,7,11.0,97.0,366.0,13.0,0
26,3,19.0,26.0,377.0,11.333333333333334,0
27,1,13.0,13.0,429.0,16.333333333333332,0
16,5,18.0,11.0,466.0,14.333333333333334,0
5,0,12.0,19.0,469.0,14.333333333333334,0
30,0,14.0,44.0,463.0,15.333333333333334,0
17,5,15.0,6.0,479.0,12.666666666666666,0
9,1,17.0,12.0,486.0,9.666666666666666,0
24,4,3.0,23.0,484.0,5.0,0
0,12,16.0,191.0,247.0,13.0,0
28,11,2.0,4.0,535.0,3.0,1
11,8,3.0,375.0,171.0,6.333333333333333,1
15,4,12.0,197.0,206.0,2.3333333333333335,1
20,11,9.0,253.0,250.0,3.0,0
23,8,4.0,255.0,175.0,8.333333333333334,0
18,7,6.0,213.0,211.0,7.0,0
1,2,14.0,105.0,383.0,14.666666666666666,0
29,3,10.0,71.0,356.0,11.333333333333334,0
16,5,13.0,36.0,437.0,14.0,0
27,1,19.0,21.0,495.0,14.0,0
19,2,0.0,12.0,494.0,10.333333333333334,0
30,0,18.0,75.0,367.0,15.333333333333334,0
0,12,8.0,6.0,491.0,16.333333333333332,0
9,1,11.0,4.0,548.0,12.0,0
17,5,16.0,23.0,508.0,14.0,0
22,7,15.0,12.0,510.0,11.0,0
13,12,17.0,26.0,399.0,14.333333333333334,0
26,3,5.0,2.0,565.0,12.0,0
5,0,7.0,13.0,455.0,13.0,0
24,4,1.0,44.0,510.0,8.666666666666666,0
28,11,1.0,191.0,270.0,3.0,1
11,8,3.0,400.0,176.0,5.333333333333333,1
20,11,4.0,215.0,213.0,2.3333333333333335,1
23,8,2.0,270.0,179.0,9.0,0
24,4,5.0,226.0,217.0,14.0,0
15,4,7.0,201.0,275.0,2.6666666666666665,0
22,7,11.0,261.0,281.0,10.666666666666666,0
19,2,10.0,32.0,406.0,10.333333333333334,0
18,7,8.0,79.0,375.0,6.666666666666667,0
5,0,6.0,107.0,415.0,15.0,0
9,1,14.0,45.0,520.0,14.0,0
0,12,17.0,23.0,519.0,16.666666666666668,0
30,0,12.0,4.0,577.0,16.0,0
29,3,16.0,6.0,533.0,7.333333333333333,0
26,3,20.0,36.0,469.0,12.0,0
17,5,15.0,13.0,484.0,15.0,0
16,5,19.0,12.0,526.0,11.666666666666666,0
13,12,18.0,21.0,543.0,15.0,0
1,2,9.0,2.0,595.0,10.666666666666666,0
27,1,13.0,71.0,394.0,12.666666666666666,0
23,8,1.0,12.0,539.0,5.666666666666667,1
11,8,2.0,252.0,218.0,3.0,1
24,4,7.0,233.0,220.0,14.666666666666666,1
15,4,5.0,216.0,284.0,4.0,0
1,2,17.0,273.0,288.0,11.0,0
28,11,3.0,81.0,399.0,1.0,0
20,11,4.0,408.0,185.0,3.0,0
19,2,16.0,276.0,192.0,7.666666666666667,0
5,0,14.0,83.0,407.0,14.666666666666666,0
26,3,15.0,47.0,542.0,15.0,0
29,3,9.0,14.0,494.0,9.333333333333334,0
30,0,13.0,36.0,505.0,13.666666666666666,0
17,5,12.0,6.0,554.0,16.0,0
9,1,10.0,12.0,556.0,14.333333333333334,0
0,12,19.0,23.0,553.0,15.0,0
13,12,18.0,4.0,610.0,14.666666666666666,0
27,1,0.0,2.0,626.0,14.333333333333334,0
18,7,6.0,12.0,570.0,8.333333333333334,0
16,5,8.0,107.0,433.0,13.333333333333334,0
22,7,11.0,21.0,575.0,11.333333333333334,0
28,11,1.0,32.0,453.0,2.6666666666666665,1
15,4,3.0,433.0,193.0,4.333333333333333,1
20,11,2.0,291.0,290.0,4.666666666666667,1
24,4,4.0,291.0,196.0,9.333333333333334,0
23,8,6.0,228.0,294.0,3.3333333333333335,0
18,7,7.0,262.0,225.0,11.0,0
19,2,8.0,116.0,459.0,9.0,0
26,3,14.0,89.0,414.0,14.333333333333334,0
22,7,13.0,18.0,513.0,14.333333333333334,0
29,3,9.0,34.0,468.0,11.0,0
27,1,11.0,37.0,523.0,15.666666666666666,0
30,0,15.0,12.0,581.0,12.333333333333334,0
0,12,19.0,6.0,566.0,13.333333333333334,0
9,1,17.0,4.0,639.0,13.0,0
5,0,18.0,23.0,595.0,12.666666666666666,0
17,5,12.0,47.0,581.0,14.666666666666666,0
16,5,16.0,12.0,591.0,15.0,0
11,8,5.0,21.0,608.0,2.0,0
13,12,20.0,233.0,243.0,17.0,0
1,2,10.0,2.0,658.0,10.333333333333334,0
28,11,1.0,81.0,434.0,,1
20,11,2.0,25.0,1.0,,1
1,3,5.0,18.0,3.0,,1
24,4,4.0,15.0,3.0,,0
11,8,7.0,12.0,4.0,,0
26,3,8.0,10.0,5.0,,0
23,8,6.0,8.0,9.0,,0
5,0,12.0,6.0,12.0,,0
9,2,20.0,4.0,8.0,,0
0,12,15.0,2.0,9.0,,0
27,1,14.0,1.0,10.0,,0
25,12,16.0,0.0,11.0,,0
16,5,17.0,0.0,22.0,,0
7,1,19.0,0.0,13.0,,0
12,5,10.0,0.0,25.0,,0
30,0,13.0,0.0,28.0,,0
18,7,11.0,0.0,24.0,,0
19,2,9.0,0.0,17.0,,0
15,4,3.0,0.0,27.0,,0
21,7,18.0,0.0,23.0,,0
20,11,1.0,0.0,37.0,2.0,1
28,11,15.0,43.0,4.0,1.0,1
1,3,2.0,44.0,6.0,3.0,1
23,8,3.0,30.0,12.0,7.0,0
11,8,7.0,18.0,16.0,5.0,0
24,4,4.0,20.0,21.0,4.0,0
15,4,12.0,20.0,29.0,19.0,0
19,2,6.0,6.0,36.0,18.0,0
9,2,9.0,4.0,35.0,9.0,0
16,5,13.0,4.0,44.0,13.0,0
27,1,16.0,1.0,38.0,11.0,0
12,5,10.0,0.0,36.0,15.0,0
30,0,11.0,0.0,50.0,16.0,0
7,1,18.0,0.0,37.0,14.0,0
21,7,8.0,0.0,50.0,20.0,0
25,12,20.0,0.0,52.0,12.0,0
18,7,19.0,0.0,38.0,17.0,0
5,0,14.0,0.0,69.0,8.0,0
0,12,17.0,4.0,55.0,10.0,0
26,3,5.0,1.0,57.0,6.0,0
28,11,1.0,8.0,32.0,1.5,1
11,8,3.0,69.0,7.0,5.0,1
1,3,4.0,38.0,23.0,3.0,1
26,3,6.0,45.0,35.0,13.0,0
20,11,20.0,20.0,39.0,1.5,0
18,7,13.0,54.0,12.0,17.0,0
12,5,10.0,8.0,75.0,13.5,0
21,7,16.0,6.0,57.0,17.5,0
30,0,17.0,4.0,83.0,14.5,0
27,1,12.0,2.0,64.0,11.0,0
5,0,19.0,1.0,60.0,13.0,0
24,4,5.0,4.0,75.0,5.0,0
9,2,9.0,20.0,48.0,9.0,0
19,2,11.0,4.0,57.0,13.0,0
7,1,15.0,4.0,71.0,14.0,0
25,12,18.0,0.0,75.0,14.0,0
16,5,14.0,0.0,73.0,11.5,0
23,8,2.0,1.0,74.0,5.5,0
0,12,8.0,18.0,41.0,14.5,0
15,4,7.0,1.0,92.0,13.0,0
20,11,3.0,6.0,68.0,2.6666666666666665,1
28,11,2.0,79.0,13.0,1.3333333333333333,1
15,4,1.0,87.0,15.0,15.333333333333334,1
1,3,6.0,21.0,71.0,3.0,0
24,4,4.0,57.0,43.0,7.333333333333333,0
11,8,5.0,30.0,76.0,4.0,0
26,3,9.0,46.0,47.0,10.0,0
23,8,11.0,26.0,50.0,9.666666666666666,0
18,7,7.0,23.0,55.0,13.333333333333334,0
27,1,8.0,10.0,92.0,10.666666666666666,0
21,7,10.0,2.0,85.0,14.333333333333334,0
0,12,12.0,4.0,103.0,16.0,0
16,5,16.0,1.0,104.0,13.333333333333334,0
9,2,17.0,1.0,87.0,10.333333333333334,0
19,2,19.0,4.0,85.0,13.333333333333334,0
25,12,14.0,4.0,100.0,14.666666666666666,0
12,5,20.0,0.0,120.0,11.333333333333334,0
5,0,13.0,6.0,104.0,12.333333333333334,0
30,0,15.0,4.0,93.0,12.666666666666666,0
7,1,18.0,2.0,112.0,14.333333333333334,0
28,11,9.0,0.0,105.0,1.6666666666666667,1
20,11,1.0,113.0,16.0,2.3333333333333335,1
1,3,2.0,97.0,18.0,3.3333333333333335,1
23,8,6.0,72.0,53.0,10.0,0
24,4,3.0,35.0,59.0,7.666666666666667,0
11,8,13.0,40.0,81.0,4.333333333333333,0
15,4,7.0,54.0,65.0,10.0,0
9,2,5.0,27.0,88.0,12.0,0
19,2,8.0,8.0,108.0,12.333333333333334,0
16,5,4.0,6.0,117.0,13.333333333333334,0
27,1,17.0,2.0,114.0,10.333333333333334,0
26,3,18.0,2.0,116.0,10.333333333333334,0
5,0,10.0,26.0,65.0,15.666666666666666,0
0,12,11.0,4.0,125.0,16.666666666666668,0
12,5,12.0,1.0,134.0,12.0,0
30,0,14.0,6.0,129.0,13.666666666666666,0
18,7,16.0,2.0,141.0,10.666666666666666,0
7,1,15.0,10.0,120.0,16.333333333333332,0
21,7,19.0,0.0,134.0,11.333333333333334,0
25,12,20.0,4.0,139.0,16.0,0
28,11,1.0,0.0,154.0,1.3333333333333333,1
1,3,2.0,138.0,19.0,3.3333333333333335,1
19,2,3.0,90.0,67.0,12.666666666666666,1
11,8,5.0,21.0,120.0,4.666666666666667,0
23,8,8.0,67.0,69.0,10.0,0
15,4,6.0,45.0,74.0,10.0,0
9,2,7.0,35.0,94.0,11.666666666666666,0
24,4,4.0,14.0,127.0,7.333333333333333,0
18,7,10.0,44.0,102.0,10.666666666666666,0
21,7,11.0,12.0,148.0,12.666666666666666,0
5,0,15.0,5.0,158.0,14.0,0
7,1,12.0,4.0,152.0,17.666666666666668,0
30,0,19.0,0.0,146.0,14.666666666666666,0
0,12,13.0,2.0,165.0,15.0,0
27,1,9.0,1.0,168.0,10.333333333333334,0
20,11,20.0,2.0,161.0,2.6666666666666665,0
12,5,18.0,97.0,35.0,13.0,0
25,12,16.0,6.0,146.0,17.333333333333332,0
16,5,17.0,0.0,186.0,13.333333333333334,0
26,3,14.0,2.0,165.0,7.666666666666667,0
28,11,1.0,26.0,87.0,1.3333333333333333,1
11,8,4.0,164.0,36.0,5.333333333333333,1
23,8,12.0,85.0,76.0,5.666666666666667,1
20,11,11.0,60.0,79.0,6.333333333333333,0
24,4,2.0,109.0,40.0,6.0,0
26,3,5.0,54.0,107.0,13.0,0
1,3,8.0,34.0,93.0,3.0,0
19,2,6.0,96.0,100.0,9.0,0
30,0,13.0,25.0,135.0,16.0,0
9,2,10.0,4.0,174.0,9.666666666666666,0
15,4,19.0,15.0,145.0,5.333333333333333,0
27,1,15.0,35.0,118.0,12.0,0
21,7,9.0,2.0,173.0,13.333333333333334,0
7,1,14.0,5.0,171.0,16.666666666666668,0
12,5,7.0,0.0,187.0,16.333333333333332,0
0,12,18.0,6.0,180.0,13.333333333333334,0
18,7,3.0,1.0,202.0,11.666666666666666,0
16,5,17.0,12.0,188.0,14.0,0
5,0,16.0,2.0,198.0,14.0,0
